Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50
0.035594883,0,0.044999076,0.04600865,0.037392732,0.04611946,0.01482129,0.030204033,0.045916397,0.082895209,0.101808419,0.091300138,0.055150245,0.078371289,0.077774042,0.074910464,0.039174432,0.028801311,0.047344864,0.057939251,0.035460363,0.018651206,0.051519286,0.040929089,0.022204552,0.051856033,0.023852345,0.023166592,0.025678252,0.025211737,0.04818008,0.021197073,0.022742603,0.018780029,0.045150909,0.060278896,0.036976041,0.054756209,0.069581912,0.066140396,0.057447212,0.047810162,0.048266687,0.067103564,0.039066615,0.031830322,0.020924577,0.045678318,0.060139888,0.048700691
0.02071331,0.075255183,0.145359101,0.08473591,0.07883421,0.115001398,0.110765194,0.103148407,0.046378403,0.035694387,0.008243579,0.008517161,0.032337605,0.008683352,0.015204271,0.026780517,0.042529965,0.079551961,0.048666905,0.011525663,0.032215019,0.054027533,0.044369309,0.049198325,0.008393727,0.040234958,0.053715193,0,0.028177232,0.090998993,0.085691592,0.039918231,0.021903213,0.045102925,0.072019442,0.125064226,0.060528011,0.053635287,0.069717875,0.048523708,0.000310598,0.027641382,0.07434512,0.011972479,0.029954995,0.069463232,0.082513157,0.058168131,0.034699508,0.013144879
0.082319611,0.107415606,0.070816949,0.090439199,0.078018232,0.110022662,0.147126779,0.071510168,0.116275282,0.116978942,0.132001104,0.098464325,0.128943704,0.051990798,0.062708963,0.133489208,0.083497749,0.078132017,0.087555968,0.071802088,0.114395697,0.058763096,0,0.011510882,0.078584134,0.155524803,0.087947506,0.122244429,0.093476817,0.086293968,0.102716172,0.089513797,0.134353237,0.114144576,0.071715358,0.050914083,0.060342474,0.056585953,0.060051618,0.009809974,0.057459083,0.109820061,0.111114369,0.083199033,0.097055937,0.13187575,0.100951463,0.085460049,0.069074607,0.068273088
0.063174147,0.035351996,0.049011582,0.07619731,0.05385731,0.05351087,0.027574142,0.053100697,0.042488408,0.074407748,0.073524372,0.098935796,0.110391284,0.061682491,0.051480469,0.038601428,0.070230754,0.083914151,0.116683032,0.113340506,0.112345661,0.08570893,0.101306622,0.078973182,0.111603809,0.046328829,0.008220456,0.035796663,0.019159195,0.104690373,0.072283827,0.060190378,0.079222797,0,0.035386674,0.086942972,0.085842613,0.063004139,0.053129169,0.084097264,0.122525709,0.176289117,0.131901545,0.05017568,0.093842272,0.1004335,0.057514105,0.113019532,0.094142974,0.076351247
0.214660174,0.141951,0.156544647,0.169519054,0.126240638,0.089429997,0.129856748,0.139045077,0.215095144,0.210096306,0.14927853,0.114779846,0.129098914,0.076001077,0.075583612,0.112307337,0.165919907,0.136520855,0.078560588,0.017316159,0,0.134715079,0.105668991,0.164172418,0.175653194,0.210379699,0.194333348,0.254368687,0.261547524,0.124071283,0.146250875,0.153530343,0.144231291,0.158958419,0.087745583,0.11293139,0.181676055,0.09212993,0.073552416,0.057462973,0.104309581,0.140704876,0.099106074,0.083680735,0.103598242,0.190464696,0.162299922,0.147460144,0.113197218,0.209400754
0.134190277,0.123921564,0.031012232,0.020917444,0.05866074,0.159957476,0.166777018,0.096271696,0.071818758,0.090144008,0.085173455,0.087578714,0.099416912,0.047917275,0.055744077,0.019266,0.107142803,0.127893568,0.03598729,0.091266932,0.081692852,0.079669006,0,0.063230061,0.082552076,0.123785854,0.010931515,0.008698144,0.050641584,0.132290769,0.149941414,0.089533324,0.132635726,0.1353791,0.200718744,0.133778654,0.09828278,0.199733991,0.096330176,0.150363634,0.226330922,0.25693981,0.165393911,0.161533745,0.092797074,0.045900537,0.022153002,0.145196481,0.144471948,0.154866946
0.296003868,0.127458659,0.156714245,0.21931804,0.177941018,0.107097456,0.183758214,0.108911328,0.134508265,0.149057394,0.177010132,0.2055634,0.187953651,0.201984162,0.224812095,0.188712826,0.14462652,0.197330602,0.261131413,0.288767626,0.226644925,0.123375227,0.095907811,0.173133977,0.250240149,0.183327341,0.12716858,0.174162101,0.112088205,0.119567715,0.198182691,0.130784199,0.121110691,0.17684045,0.245916379,0.191932359,0.060868332,0.013162103,0.071647081,0,0.115592242,0.194575045,0.161262941,0.252904734,0.21046759,0.048043546,0.08407501,0.128954003,0.11480466,0.209917951
0.156191177,0.197294291,0.135657724,0.231772894,0.095546278,0.106894919,0.238912464,0.134070987,0.257303599,0.248650997,0.133726987,0.224629256,0.260366947,0.197748894,0.105092785,0.105922503,0.20941527,0.287650259,0.228733427,0.231160926,0.123761152,0.131581263,0.249130136,0.220594248,0.1674495,0.156416537,0.066122239,0.176163188,0.288389629,0.158203264,0.077491533,0.158283613,0.159377243,0.177549973,0.208751112,0.123672804,0,0.093638385,0.157894737,0.21601545,0.270173327,0.168946721,0.156351804,0.15037483,0.155770171,0.154122273,0.153610043,0.167555352,0.111268234,0.078361716
0.199022749,0.029558031,0.057785664,0.225459698,0.284050108,0.228140615,0.163620063,0.161619051,0.130330007,0.202744881,0.170487355,0.142552522,0.283602672,0.247479824,0.218315818,0.251400522,0.187181428,0.127449815,0.009310982,0.079819195,0.160982163,0.214775026,0.246580973,0.119748245,0.104791401,0.155484357,0.182568927,0.247393991,0.108666141,0.042926338,0.179163219,0.22732257,0.242749883,0.154306334,0.12281768,0,0.066046862,0.088423813,0.201358941,0.315892199,0.226364959,0.291183179,0.200385998,0.221363912,0.14179138,0.152192956,0.202642002,0.150351505,0.104493913,0.204258663
0.428902848,0.178812058,0.156082954,0.110202053,0.162922701,0.19167818,0.189807677,0.188406838,0.221533281,0.195110969,0.28060966,0.243731673,0.325627226,0.153118499,0.10277437,0.199200585,0.267288329,0.148005365,0.255858542,0.25960558,0.201144587,0.067314158,0.160735626,0.235516754,0.042854894,0.03410831,0.185526116,0.251960777,0.192203017,0.202306121,0.275098933,0.202320016,0.165154682,0.15218853,0.09128931,0.089516847,0.233989475,0.211501104,0.110445063,0.055456066,0.143448132,0.273186242,0.258166801,0.088831516,0,0.219442826,0.168245336,0.139446156,0.115058554,0.271805531
